
========================================================================
convergence_ref_profiles | cwd=D:\Group\HyOCR\HG_test_cloned
argv=scripts/test_convergence_ref_profiles.py --scale-min 0.05 --scale-max 0.24 --scale-step 0.005 --log-bvp logs/bvp_0.05-0.24.log --log-hc logs/hc_0.05-0.24.log --output-csv output/summary_0.05-0.24.csv --phase hc
phase=hc | run_bvp=False run_hc=True
scales (39)=[0.05, 0.055, 0.06, 0.065, 0.07, 0.07500000000000001, 0.08000000000000002, 0.08500000000000002, 0.09000000000000002, 0.09500000000000003, 0.10000000000000003, 0.10500000000000004, 0.11000000000000004, 0.11500000000000005, 0.12000000000000005, 0.12500000000000006, 0.13000000000000006, 0.13500000000000006, 0.14000000000000007, 0.14500000000000007, 0.15000000000000008, 0.15500000000000008, 0.1600000000000001, 0.1650000000000001, 0.1700000000000001, 0.1750000000000001, 0.1800000000000001, 0.1850000000000001, 0.1900000000000001, 0.19500000000000012, 0.20000000000000012, 0.20500000000000013, 0.21000000000000013, 0.21500000000000014, 0.22000000000000014, 0.22500000000000014, 0.23000000000000015, 0.23500000000000015, 0.24000000000000016] | mode=range[0.05,0.24]step=0.005
z_patch_m=4.2 | max_outer=100 | y_tol=0.01
initial_mesh_up=200 initial_mesh_down=10 | U_override=None
TMP_RUN=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs | output_csv=D:\Group\HyOCR\HG_test_cloned\output\summary_0.05-0.24.csv
HC  CSV up=D:\Group\HyOCR\HG_test_cloned\data\hc_4n4_0.0-4.2m_loop.csv down_resolved=D:\Group\HyOCR\HG_test_cloned\data\hc_6_4.2-5.9m_loop.csv
merged HC  rows=499 z=[0.0000,5.8720]
HC_REL_TOL_MAIN=0.001 (test_hc_* per-variable relative tolerance)
========================================================================
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of T = 4.115979979087258e-06
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of t = 4.231743063887967e-06
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of p = 3.197306423531357e-06
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of fs = 0.0
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of rhob = 0.0
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of T = 0.0007573714189549104
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of t = 0.0007732611143248467
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of x = 0.00013088661121421475
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of y = 0.000280380569589097
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of w = 0.0004391280221178957
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of p = 0.0
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of fs = 0.0009293083438921078
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of rhob = 0.0006671666836791958
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of T = 4.005830376588414e-06
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of t = 4.1218720857446586e-06
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of p = 3.302008515171066e-06
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of fs = 0.0
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] relative error of rhob = 0.0
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] trial 4/39 | scale=0.065 | HC end | coupling_ok=True outer_iters=1 elapsed=18.49s | final_success=True
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] trial 5/39 | scale=0.07 | HC phase | mesh_up=200 mesh_down=10 | dir=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs\convref_hc_i4
2026-04-10 23:44:10 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-10 23:44:18 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:44:18 | INFO     | [conv_ref:HC] relative error of T = 0.0007263108739659343
